name,address,city,state
None,,,
Community College of the Air Force,,,
Alabama A & M University,4900 Meridian Street,Normal,Alabama
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,Alabama
Amridge University,1200 Taylor Rd,Montgomery,Alabama
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,Alabama
Alabama State University,915 S Jackson Street,Montgomery,Alabama
University of Alabama System Office,401 Queen City Ave,Tuscaloosa,Alabama
The University of Alabama,739 University Blvd,Tuscaloosa,Alabama
Central Alabama Community College,1675 Cherokee Rd,Alexander City,Alabama
Athens State University,300 N Beaty St,Athens,Alabama
Auburn University at Montgomery,7440 East Drive,Montgomery,Alabama
Auburn University,"Auburn, Alabama",Auburn University,Alabama
Birmingham Southern College,900 Arkadelphia Road,Birmingham,Alabama
Chattahoochee Valley Community College,2602 College Drive,Phenix City,Alabama
Concordia College Alabama,1712 Broad Street,Selma,Alabama
South University-Montgomery,5355 Vaughn Rd,Montgomery,Alabama
Enterprise State Community College,600 Plaza Drive,Enterprise,Alabama
James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,Alabama
Faulkner University,5345 Atlanta Hwy,Montgomery,Alabama
Gadsden State Community College,1001 George Wallace Dr,Gadsden,Alabama
George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,Alabama
George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,Alabama
George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,Alabama
Herzing University-Birmingham,280 West Valley Ave,Birmingham,Alabama
Huntingdon College,1500 East Fairview Avenue,Montgomery,Alabama
Heritage Christian University,3625 Helton Dr,Florence,Alabama
J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,Alabama
J F Ingram State Technical College,5375 Ingram Rd,Deatsville,Alabama
Jacksonville State University,700 Pelham Road North,Jacksonville,Alabama
Jefferson Davis Community College,220 Alco Dr,Brewton,Alabama
Jefferson State Community College,2601 Carson Rd,Birmingham,Alabama
John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,Alabama
Judson College,302 Bibb St,Marion,Alabama
Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,Alabama
University of West Alabama,Station One,Livingston,Alabama
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,Alabama
Marion Military Institute,1101 Washington St,Marion,Alabama
Miles College,5500 Myron Massey Blvd,Fairfield,Alabama
University of Mobile,5735 College Parkway Drive,Mobile,Alabama
University of Montevallo,Station 6001,Montevallo,Alabama
Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,Alabama
University of North Alabama,One Harrison Plaza,Florence,Alabama
Northeast Alabama Community College,138  Highway 35,Rainsville,Alabama
Oakwood University,7000 Adventist Blvd NW,Huntsville,Alabama
Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,Alabama
Prince Institute-Southeast,7735 Atlanta Hwy,Montgomery,Alabama
Reid State Technical College,I65 and Hwy 83,Evergreen,Alabama
Bishop State Community College,351 North Broad Street,Mobile,Alabama
Samford University,800 Lakeshore Drive,Birmingham,Alabama
Selma University,"1501 Lapsley St, Dinkins Hall",Selma,Alabama
Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,Alabama
Snead State Community College,102 Elder Street,Boaz,Alabama
University of South Alabama,307 N University Blvd,Mobile,Alabama
Spring Hill College,4000 Dauphin St,Mobile,Alabama
Southeastern Bible College,2545 Valleydale Road,Birmingham,Alabama
Stillman College,3601 Stillman Boulevard,Tuscaloosa,Alabama
Talladega College,627 W Battle St,Talladega,Alabama
H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,Alabama
Troy University,University Avenue,Troy,Alabama
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,Alabama
United States Sports Academy,One Academy Drive,Daphne,Alabama
Bevill State Community College,1411 Indiana Avenue,Jasper,Alabama
University of Alaska Anchorage,3211 Providence Drive,Anchorage,Alaska
Alaska Bible College,248 E Elmwood,Palmer,Alaska
University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,Alaska
University of Alaska Southeast,11120 Glacier Highway,Juneau,Alaska
Alaska Pacific University,4101 University Dr,Anchorage,Alaska
Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,Alaska
Prince William Sound Community College,303 Lowe Street,Valdez,Alaska
Alaska Career College,1415 E Tudor Road,Anchorage,Alaska
University of Alaska System of Higher Education,"910 Yukon Drive, Suite 202 Butrovich Building",Fairbanks,Alaska
Everest College-Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,Arizona
Collins College,4750 S 44th Place,Phoenix,Arizona
Thunderbird School of Global Management,1 Global Place,Glendale,Arizona
American Indian College of the Assemblies of God Inc,10020 N 15th Ave,Phoenix,Arizona
Carrington College-Phoenix,8503 N 27th Ave.,Phoenix,Arizona
Carrington College-Mesa,"1001 Southern Ave., Ste. 130",Mesa,Arizona
Carrington College-Tucson,3550 N Oracle Rd.,Tucson,Arizona
College America-Flagstaff,3012 East Route 66,Flagstaff,Arizona
Arizona Automotive Institute,6829 N 46th Ave,Glendale,Arizona
Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,Arizona
Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,Arizona
Arizona Western College,2020 S. Avenue 8E,Yuma,Arizona
University of Arizona,1401 E University,Tucson,Arizona
Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,Arizona
Central Arizona College,8470 N Overfield Rd,Coolidge,Arizona
Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,Arizona
Cochise College,4190 W Highway 80,Douglas,Arizona
DeVry University-Arizona,2149 W Dunlap Ave,Phoenix,Arizona
Eastern Arizona College,615 N. Stadium Ave.,Thatcher,Arizona
Embry-Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,Arizona
Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,Arizona
Glendale Community College,6000 W Olive Ave,Glendale,Arizona
Grand Canyon University,3300 W Camelback Rd,Phoenix,Arizona
Anthem College-Phoenix,1515 E Indian School Road,Phoenix,Arizona
Kaplan College-Phoenix,"13610 N Black Canyon Hwy,  Ste 104",Phoenix,Arizona
Maricopa Community College System Office,2411 W 14th St,Tempe,Arizona
GateWay Community College,108 N. 40th Street,Phoenix,Arizona
Mesa Community College,1833 W Southern Ave,Mesa,Arizona
ITT Technical Institute-Tucson,1455 W. River Rd,Tucson,Arizona
ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,Arizona
Mohave Community College,1971 Jagerson Ave,Kingman,Arizona
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,Arizona
Dine College,"Route 12, One Circle Drive",Tsaile,Arizona
Northern Arizona University,"1900 S. Knoles Dr, Babbitt Administrative Center",Flagstaff,Arizona
Northland Pioneer College,2251 E. Navajo Blvd.,Holbrook,Arizona
Ottawa University-Phoenix,10020 North 25th Avenue,Phoenix,Arizona
Phoenix College,1202 W Thomas Rd,Phoenix,Arizona
University of Phoenix-Phoenix Campus,1625 West Fountainhead Parkway,Tempe,Arizona
Pima Community College,4905C East  Broadway Blvd.,Tucson,Arizona
Pima Medical Institute-Tucson,"3350 East Grant Road, Suite 200",Tucson,Arizona
Pima Medical Institute-Albuquerque,4400 Cutler Avenue NE,Albuquerque,New Mexico
Prescott College,220 Grove Ave,Prescott,Arizona
Refrigeration School Inc,4210 E Washington Street,Phoenix,Arizona
Rio Salado College,2323 W 14th St,Tempe,Arizona
Scottsdale Community College,9000 E Chaparral Rd,Scottsdale,Arizona
South Mountain Community College,7050 S 24th St,Phoenix,Arizona
Arizona Christian University,2625 E Cactus Rd,Phoenix,Arizona
Universal Technical Institute of Arizona Inc,10695 West Pierce Street,Avondale,Arizona
Western International University,1601 W Fountainhead Parkway,Tempe,Arizona
Yavapai College,1100 E Sheldon St,Prescott,Arizona
University of Arkansas at Little Rock,2801 S University Ave,Little Rock,Arkansas
University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,Arkansas
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,Arkansas
Lyon College,2300 Highland Road,Batesville,Arkansas
University of Arkansas,Administration Bldg 425,Fayetteville,Arkansas
University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789,Pine Bluff,Arkansas
Arkansas State University-Beebe,1000 Iowa Street,Beebe,Arkansas
Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,Arkansas
Arkansas Tech University,Administration Bldg 200; 1509 N Boulder Ave,Russellville,Arkansas
University of Arkansas at Monticello,Highway 425 South,Monticello,Arkansas
Baptist Health Schools-Little Rock,11900 Col Glenn Rd Ste 1000,Little Rock,Arkansas
Black River Technical College,1410 Hwy 304 East,Pocahontas,Arkansas
University of Central Arkansas,201 Donaghey Ave,Conway,Arkansas
Central Baptist College,1501 College Avenue,Conway,Arkansas
Cossatot Community College of the University of Arkansas,183 College Drive,De Queen,Arkansas
Crowley's Ridge College,100 College Dr,Paragould,Arkansas
East Arkansas Community College,1700 Newcastle Rd,Forrest City,Arkansas
National Park Community College,101 College Dr,Hot Springs,Arkansas
University of Arkansas Community College-Batesville,2005 White Drive,Batesville,Arkansas
Harding University,915 E. Market Ave.,Searcy,Arkansas
Henderson State University,1100 Henderson Street,Arkadelphia,Arkansas
Hendrix College,1600 Washington Ave,Conway,Arkansas
Jefferson Regional Medical Center School of Nursing,1600 West 40th St,Pine Bluff,Arkansas
John Brown University,2000 W University St,Siloam Springs,Arkansas
Mid-South Community College,2000 W.  Broadway,West Memphis,Arkansas
Arkansas Northeastern College,2501 S Division,Blytheville,Arkansas
North Arkansas College,1515 Pioneer Dr,Harrison,Arkansas
Ouachita Baptist University,410 Ouachita St,Arkadelphia,Arkansas
College of the Ouachitas,One College Circle,Malvern,Arkansas
Ozarka College,218 College Dr,Melbourne,Arkansas
University of the Ozarks,415 N College Ave,Clarksville,Arkansas
University of Arkansas Community College-Morrilton,1537 University Blvd.,Morrilton,Arkansas
Philander Smith College,900 W. Daisy Bates Drive,Little Rock,Arkansas
Phillips Community College of the University of Arkansas,1000 Campus Drive,Helena,Arkansas
Southeast Arkansas College,1900 Hazel St.,Pine Bluff,Arkansas
Pulaski Technical College,3000 W Scenic Dr,North Little Rock,Arkansas
University of Arkansas Community College-Hope,2500 S Main,Hope,Arkansas
Rich Mountain Community College,1100 College Dr,Mena,Arkansas
Shorter College,604 Locust St,N Little Rock,Arkansas
Williams Baptist College,60 W Fulbright Avenue,Walnut Ridge,Arkansas
South Arkansas Community College,300 S West Ave,El Dorado,Arkansas
